ID,SMILES
EN300-30203,Cc1ccc(C(N)c2ccccc2)cc1C.Cl
EN300-02944,N#Cc1c(N)oc(-c2cccs2)c1-c1cccs1
EN300-30903,NCC1CCS(=O)(=O)C1
EN300-84103,Cc1ccc(N)cc1O
EN300-08736,COc1cccc(C(CN)c2c[nH]c3ccccc23)c1OC.Cl
EN300-30169,Cc1cccc(NC(=O)CN)c1C.Cl
EN300-31727,Cc1cc(Br)cc(C)c1N
EN300-30222,Cl.Cl.NCc1cn2ccccc2n1
EN300-33074,NCc1c(F)cccc1Cl
EN300-39414,NC(CCO)c1ccccc1
EN300-42789,Nc1ccc(O)cc1[N+](=O)[O-]
EN300-11981,Cl.Cl.Nc1ccc(CN2CCOCC2)cc1
EN300-36019,CCn1cnnc1-c1cccc(N)c1
EN300-08848,Cl.NCCCSc1ccc(F)cc1
EN300-52525,Nc1cccc(F)c1F
EN300-09222,Cl.NCC(=O)Nc1ccc(F)c(F)c1F
EN300-52420,COc1c(N)cccc1Cl
EN300-31698,COc1cccc2cc(C(C)N)oc12
EN300-30834,Nc1ccc(Cn2cncn2)cc1
EN300-13873,Cc1nc2ccccc2n1CCN.Cl
EN300-82880,NC1CCCCC1CO
EN300-09240,CC(C)(C)c1cc(N)on1.Cl
EN300-10626,Cl.Nc1ccc(N2CCCC2)cc1
EN300-51329,Cc1noc(C)c1N
EN300-10930,Cc1cc(-c2csc(N)n2)c(C)n1C.Cl
EN300-66006,Nc1ccc(Cl)nn1
EN300-08577,COc1ccccc1OCCN.Cl
EN300-08650,Cc1cc(-c2csc(N)n2)c(C)n1-c1ccc(F)cc1.Cl
EN300-02499,Nc1nnc(C(F)(F)F)[nH]1
EN300-73440,NCC(O)c1ccc2ccccc2c1
EN300-02398,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(N)c1
EN300-50845,NCC(O)CO
EN300-59131,Nc1ccc2c(c1)CC(=O)N2
EN300-36952,Cc1ccnc(N)c1[N+](=O)[O-]
EN300-08690,Cl.Nc1cc(Cl)ccc1N1CCCCC1
EN300-08710,CC(C)C(N)c1nc2ccccc2[nH]1.Cl
EN300-30210,CCN1CCN(C(=O)C(N)Cc2ccccc2)CC1.Cl.Cl
EN300-30253,Cl.Cl.Nc1ccc(CN2CCCC2)cc1
EN300-13419,Cl.Cl.Cn1c(CN)nc2ccccc21
EN300-82480,N#Cc1cn(-c2ccccc2)nc1N
EN300-55088,Cn1nccc1N
EN300-35727,NC(=O)c1cc(N)ccc1F
EN300-13121,Cl.Nc1ccc(N2CCCCCC2)cc1
EN300-09993,Cc1cc(N2CCCC2)ccc1N.Cl
EN300-07110,Cl.NCCc1ccc2c(c1)OCCO2
EN300-82296,Cc1ccc(CO)cc1N
EN300-33524,Nc1cccc(-c2cc[nH]n2)c1
EN300-18161,CCCC(=O)Nc1ccc(Cl)c(N)c1
EN300-12650,NC1c2ccccc2-c2ccccc21
EN300-12653,CC(C)Cn1nccc1N
EN300-10653,CC(N)c1cc(F)c(Cl)cc1Cl
EN300-10769,CCC(N)C12CC3CC(CC(C3)C1)C2.Cl
EN300-10215,CC(N)c1ccc(Cl)c(Cl)c1
EN300-10314,COCC(C)NS(=O)(=O)c1ccc(N)cc1
EN300-09840,CCCNC(=O)c1ccccc1N
EN300-11484,NC(=O)c1cnn(-c2cccc(Cl)c2)c1N
EN300-09702,Nc1ccccc1C(=O)N1CCCCC1
EN300-13194,C=CCSc1ccccc1N
EN300-05045,Nc1nc2ccccc2n2nnnc12
EN300-07262,Nc1nc2ccccc2nc1N1CCCC1
EN300-12427,CC(N)CCc1ccco1
EN300-11498,Nc1nnns1
EN300-08644,Cc1cc(C)c(-c2nc(N)sc2C)cc1C
EN300-52401,COc1ccc(N)c2cccnc12
EN300-07385,NCC(c1cccs1)c1c[nH]c2ccccc12
EN300-10350,CC(C)c1ccc(CCN)cc1
EN300-10351,COc1ccccc1C(CN)N(C)C
EN300-10759,CN1CCN(C(CN)c2cccs2)CC1
EN300-10761,CCN(CC)C(CN)c1ccccc1
EN300-34311,NCc1ccccc1C(F)(F)F
EN300-09640,CN(Cc1ccccc1)S(=O)(=O)c1ccc(N)cc1
EN300-18737,N#CCc1ccc(N)cc1
EN300-13943,COc1ccc(C)cc1C(C)N
EN300-10341,CCC(C)n1nccc1N
EN300-09745,CNC(=O)c1ccc(N)cc1
EN300-12531,NC1CCOc2ccccc21
EN300-12532,Cl.NC1CCSc2ccccc21
EN300-08695,Nc1ccc(Sc2nc3ccccc3[nH]2)cc1
EN300-10405,Nc1cccc2cccnc12
EN300-10407,Nc1ccccc1C(=O)NCCCN1CCOCC1
EN300-10717,NCCCN1CCCCCC1
EN300-12263,COc1ccc(-c2cc(N)ccc2OC(F)F)cc1
EN300-12705,CC(c1ccccc1)n1nccc1N
EN300-21250,Nc1cccc(CO)c1
EN300-02116,Nc1cccc(S(=O)(=O)Nc2ccccc2F)c1
EN300-12461,NCc1nnc2n1CCCCC2
EN300-10255,CC(NS(=O)(=O)c1ccc(N)cc1)C1CC2CCC1C2
EN300-11157,Nc1cc(-c2ccc3c(c2)CCC3)nn1-c1ccccc1
EN300-68231,Nc1ccc(F)cc1C(F)(F)F
EN300-33439,Nc1ccc(CN2CCOCC2)cc1
EN300-11000,Nc1ccc(-c2nc3ccccc3s2)cn1
EN300-49728,Cc1nccn1CC(C)CN.Cl.Cl
EN300-02536,Nc1ccc2c(c1)C(=O)NC2=O
EN300-50081,CC(CN)CN1CCCCC1
EN300-53042,CN1Cc2ccc(N)cc2C1
EN300-50020,Nc1ccc(N2CCCC2)c(F)c1
EN300-08713,Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCOCC1
EN300-09525,CCCc1cc(N)on1
EN300-09077,Nc1cc(-c2ccccc2)nn1CCO
EN300-09418,CN1CCN(c2ccc(Cl)cc2N)CC1
EN300-50070,Nc1ccccc1N1CCC(O)CC1
EN300-07887,CCN(CC)c1ccc(S(=O)(=O)N2CCCCC2)cc1N
EN300-09131,Cl.Nc1cc(Cl)ccc1N1CCCC1
EN300-06517,CCOc1ccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2N)cc1
EN300-09657,Nc1ccc(Cc2nc3ccccc3s2)cc1
EN300-04981,Nc1ccc(Cc2ccncc2)cc1
EN300-06558,Cc1cccc(Oc2ccccc2N)c1
EN300-06559,Nc1cc(S(=O)(=O)N2CCCCC2)ccc1Oc1ccccc1
EN300-20873,CC(C)C(C)N
EN300-06829,Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1
EN300-34147,Nc1cc(Br)ccc1Br
EN300-10306,CC(C)(C)C1CCc2c(sc(N)c2C#N)C1
EN300-06817,Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Oc1cccc(Br)c1
EN300-50008,CC(C)NC(=O)c1ccc(N)cc1
